iter	MultiClass
0	1.767304093
1	1.745828218
2	1.726842538
3	1.709047557
4	1.69193615
5	1.676500689
6	1.661464895
7	1.648519405
8	1.636342432
9	1.62482727
10	1.614309557
11	1.604316301
12	1.595290327
13	1.585886211
14	1.57794181
15	1.570534673
16	1.562901469
17	1.55627689
18	1.549984262
19	1.544346916
20	1.539266737
21	1.534156067
22	1.529645139
23	1.52507199
24	1.521180335
25	1.51737369
26	1.513413401
27	1.510187043
28	1.506855636
29	1.502758549
30	1.499942931
31	1.496250894
32	1.493187061
33	1.49067702
34	1.488669379
35	1.486762696
36	1.484838378
37	1.482417603
38	1.480485757
39	1.478390021
40	1.476564729
41	1.475027556
42	1.473373593
43	1.471281914
44	1.469889363
45	1.468763062
46	1.46767815
47	1.465660628
48	1.463987983
49	1.461841491
50	1.460475633
51	1.458511
52	1.456933445
53	1.455682973
54	1.454239245
55	1.452979387
56	1.451535811
57	1.449880406
58	1.449281247
59	1.447374297
60	1.446673473
61	1.446264059
62	1.444768836
63	1.443929723
64	1.442839051
65	1.442579615
66	1.441608248
67	1.440000274
68	1.438852878
69	1.437520429
70	1.436759932
71	1.435716139
72	1.43437319
73	1.432344084
74	1.431866253
75	1.431331741
76	1.429838698
77	1.429253711
78	1.428423151
79	1.427789583
80	1.427267452
81	1.426682033
82	1.426200158
83	1.425731968
84	1.425326774
85	1.42471197
86	1.423742016
87	1.423031603
88	1.422816671
89	1.422625828
90	1.422009128
91	1.421586244
92	1.421531112
93	1.421198645
94	1.419482954
95	1.418788603
96	1.418384918
97	1.41738497
98	1.416145234
99	1.415419473
100	1.414685379
101	1.414024387
102	1.413771382
103	1.413462411
104	1.412864937
105	1.412408541
106	1.411973402
107	1.411808398
108	1.410857802
109	1.409479366
110	1.408930978
111	1.408455796
112	1.407379677
113	1.406990137
114	1.405640639
115	1.404661629
116	1.404415815
117	1.402878752
118	1.402499048
119	1.401814019
120	1.401045759
121	1.400343598
122	1.399928466
123	1.399383258
124	1.399138246
125	1.39763039
126	1.396318841
127	1.396052503
128	1.395611873
129	1.395005322
130	1.394124919
131	1.393730243
132	1.392283137
133	1.391546218
134	1.391156933
135	1.39081848
136	1.390356482
137	1.389927982
138	1.389203015
139	1.38906332
140	1.388296382
141	1.387949587
142	1.386895046
143	1.38614981
144	1.384983126
145	1.384040697
146	1.382226717
147	1.381646009
148	1.380552797
149	1.379326959
150	1.378176276
151	1.377951533
152	1.376909048
153	1.37637455
154	1.375360998
155	1.374912158
156	1.374022331
157	1.373318437
158	1.373251004
159	1.372026653
160	1.370701992
161	1.370345404
162	1.369834196
163	1.368864561
164	1.367683151
165	1.366289289
166	1.365128773
167	1.36324313
168	1.362096045
169	1.360778665
170	1.360223975
171	1.358689864
172	1.357069641
173	1.356606854
174	1.355451063
175	1.354016936
176	1.352505395
177	1.352017426
178	1.351209145
179	1.350736241
180	1.349083071
181	1.348651992
182	1.34760415
183	1.346595229
184	1.345558556
185	1.344399258
186	1.343380056
187	1.342694195
188	1.34189214
189	1.34070305
190	1.339459253
191	1.338758841
192	1.337725883
193	1.336824376
194	1.336007406
195	1.334624254
196	1.333684046
197	1.332705851
198	1.331487613
199	1.330558744
200	1.329589424
201	1.328309591
202	1.327679791
203	1.326066736
204	1.325094256
205	1.324335752
206	1.323356963
207	1.322790383
208	1.321972465
209	1.320664895
210	1.319341364
211	1.317527228
212	1.31661504
213	1.315477087
214	1.314644971
215	1.313591182
216	1.312632946
217	1.312004564
218	1.310647849
219	1.309833313
220	1.309024279
221	1.308069675
222	1.306431697
223	1.30576394
224	1.304678153
225	1.303673948
226	1.302881898
227	1.302368763
