iter	Passed	Remaining
0	27	2171
1	49	1940
2	70	1809
3	92	1756
4	114	1721
5	136	1688
6	160	1669
7	181	1635
8	202	1601
9	225	1575
10	245	1542
11	267	1516
12	288	1487
13	311	1466
14	332	1441
15	353	1415
16	375	1392
17	396	1366
18	417	1339
19	438	1315
20	466	1311
21	490	1292
22	511	1266
23	532	1242
24	552	1216
25	573	1192
26	594	1167
27	615	1142
28	636	1119
29	658	1097
30	680	1075
31	702	1054
32	723	1030
33	743	1006
34	764	982
35	786	960
36	810	941
37	835	922
38	858	902
39	881	881
40	907	862
41	932	843
42	965	830
43	997	816
44	1024	796
45	1047	774
46	1074	754
47	1096	731
48	1124	711
49	1150	690
50	1176	669
51	1200	646
52	1223	623
53	1248	601
54	1271	578
55	1294	554
56	1317	531
57	1339	508
58	1360	484
59	1382	460
60	1402	436
61	1421	412
62	1442	389
63	1463	365
64	1485	342
65	1510	320
66	1532	297
67	1553	274
68	1575	251
69	1600	228
70	1634	207
71	1665	185
72	1694	162
73	1723	139
74	1753	116
75	1779	93
76	1805	70
77	1829	46
78	1853	23
79	1878	0
