,completion
0,Mandela
1,Mandela
2,Mandela
3,Mandela
4,Mandela
5,Mandela
6,Mandela
7,Mandela
8,Mandela
9,Mandela
10,Mandela
11,Mandela
12,Mandela
13,Mandela
14,Mandela
15,Mandela
16,Mandela
17,Mandela
18,Mandela
19,Mandela
20,Mandela
21,Mandela
22,Mandela
23,Mandela
24,Mandela
25,Mandela
26,Mandela
27,Mandela
28,Mandela
29,Mandela
30,Mandela
31,Mandela
32,Mandela
33,Mandela
34,Mandela
35,Mandela
36,Mandela
37,Mandela
38,Mandela
39,Mandela
40,Mandela
41,Mandela
42,Mandela
43,Mandela
44,Mandela
45,Mandela
46,Mandela
47,Mandela
48,Mandela
49,Mandela
50,Mandela
51,Mandela
52,Mandela
53,Mandela
54,Mandela
55,Mandela
56,Mandela
57,Mandela
58,Mandela
59,Mandela
60,Mandela
61,Mandela
62,Mandela
63,Mandela
64,Mandela
65,Mandela
66,Mandela
67,Mandela
68,Mandela
69,Mandela
70,Mandela
71,Mandela
72,Mandela
73,Mandela
74,Mandela
75,Mandela
76,Mandela
77,Mandela
78,Mandela
79,Mandela
80,Mandela
81,Mandela
82,Mandela
83,Mandela
84,Mandela
85,Mandela
86,Mandela
87,Mandela
88,Mandela
89,Mandela
90,Mandela
91,Mandela
92,Mandela
93,Mandela
94,Mandela
95,Mandela
96,Mandela
97,Mandela
98,Mandela
99,Mandela
100,Mandela
101,Mandela
102,Mandela
103,Mandela
104,Mandela
105,Mandela
106,Mandela
107,Mandela
108,Mandela
109,Mandela
110,Mandela
111,Mandela
112,Mandela
113,Mandela
114,Mandela
115,Mandela
116,Mandela
117,Mandela
118,Mandela
119,Mandela
120,Mandela
121,Mandela
122,Mandela
123,Mandela
124,Mandela
125,Mandela
126,Mandela
127,Mandela
128,Mandela
129,Mandela
130,Mandela
131,Mandela
132,Mandela
133,Mandela
134,Mandela
135,Mandela
136,Mandela
137,Mandela
138,Mandela
139,Mandela
140,Mandela
141,Mandela
142,Mandela
143,Mandela
144,Mandela
145,Mandela
146,Mandela
147,Mandela
148,Mandela
149,Mandela
150,Mandela
151,Mandela
152,Mandela
153,Mandela
154,Mandela
155,Mandela
156,Mandela
157,Mandela
158,Mandela
159,Mandela
160,Mandela
161,Mandela
162,Mandela
163,deKlerk
164,deKlerk
165,deKlerk
166,deKlerk
167,deKlerk
168,deKlerk
